                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77579,                  2.161,                 1.0409,                0.34816,                0.34811,                0.28694,                0.20866,                 1.1282,                 1.8853,                 1.1021,               0.070244,              0.0033062,              0.0033062
                      1,                0.70058,                0.98434,                0.96319,                0.45549,                 0.6518,                0.45415,                 0.2865,                  1.095,                 1.4565,                 1.0876,               0.040178,              0.0065738,              0.0065738
                      2,                0.73616,                0.87667,                0.97167,                 0.4669,                0.70906,                0.58763,                0.33947,                 1.1841,                 1.1634,                 1.1609,               0.010046,              0.0097754,              0.0097754
                      3,                0.74269,                0.79335,                0.96674,                0.61893,                0.72791,                 0.6799,                0.40102,                 1.0452,                0.95677,                 1.0384,               0.009703,               0.009703,               0.009703
                      4,                0.72348,                0.73528,                0.96359,                0.72496,                0.76659,                 0.7695,                0.46029,                 1.0238,                0.84777,                0.99474,               0.009703,               0.009703,               0.009703
                      5,                0.68993,                0.67745,                0.94637,                0.77266,                0.80458,                0.82142,                0.47841,                 1.0155,                0.78478,                 1.0066,               0.009604,               0.009604,               0.009604
                      6,                0.67884,                0.64259,                0.94783,                0.68778,                 0.8298,                0.78346,                0.46371,                 1.0207,                0.80301,                 1.0081,               0.009505,               0.009505,               0.009505
                      7,                0.66691,                0.60507,                0.94173,                0.77384,                0.81181,                0.84086,                0.50952,                 0.9917,                 0.6954,                0.99562,               0.009406,               0.009406,               0.009406
                      8,                0.65627,                0.57585,                 0.9334,                0.82543,                0.81666,                0.87477,                0.51895,                0.95382,                0.63837,                0.97326,               0.009307,               0.009307,               0.009307
                      9,                0.64148,                0.54498,                0.92465,                0.74708,                0.77107,                0.80868,                 0.4819,                0.97597,                0.70379,                 0.9689,               0.009208,               0.009208,               0.009208
                     10,                0.63931,                0.53042,                0.92442,                0.79434,                0.87258,                0.88461,                0.53102,                0.95833,                 0.6283,                0.96812,               0.009109,               0.009109,               0.009109
                     11,                0.63418,                0.52306,                0.92598,                0.78588,                0.87361,                0.89263,                0.53832,                0.95372,                0.61588,                0.95938,                0.00901,                0.00901,                0.00901
                     12,                 0.6171,                0.50067,                0.92062,                0.80931,                0.87116,                0.88348,                0.54325,                0.95673,                0.60513,                0.96299,               0.008911,               0.008911,               0.008911
                     13,                0.61261,                0.49104,                0.91901,                0.82685,                0.85964,                0.89345,                0.54601,                0.94595,                0.58173,                0.95256,               0.008812,               0.008812,               0.008812
                     14,                0.60933,                0.47827,                 0.9159,                0.82463,                0.87908,                0.91045,                0.55509,                0.95109,                0.56418,                0.96186,               0.008713,               0.008713,               0.008713
                     15,                0.60143,                0.46406,                0.90916,                0.83213,                0.85966,                0.89616,                0.56321,                0.92326,                0.57796,                0.94686,               0.008614,               0.008614,               0.008614
                     16,                0.59896,                 0.4606,                  0.914,                0.86815,                0.90325,                0.92785,                0.56517,                0.94447,                0.56755,                0.94886,               0.008515,               0.008515,               0.008515
                     17,                0.59086,                0.45138,                0.90945,                0.87862,                0.83038,                0.89573,                0.55402,                0.93637,                 0.5606,                0.94309,               0.008416,               0.008416,               0.008416
                     18,                0.59678,                0.44979,                0.91292,                0.82196,                0.85402,                0.88543,                0.53573,                0.97177,                 0.5795,                0.96971,               0.008317,               0.008317,               0.008317
                     19,                 0.5963,                0.44171,                 0.9108,                0.87579,                0.86108,                0.90237,                0.56733,                0.95498,                0.56141,                0.95628,               0.008218,               0.008218,               0.008218
                     20,                0.58361,                0.42827,                0.90548,                0.90196,                0.86122,                0.92993,                 0.5777,                0.92104,                0.55223,                0.94577,               0.008119,               0.008119,               0.008119
                     21,                0.57669,                0.42649,                0.90681,                0.84406,                0.90443,                0.91763,                0.57704,                0.93328,                0.55034,                0.94358,                0.00802,                0.00802,                0.00802
                     22,                0.58411,                0.42152,                0.90558,                0.86785,                0.87162,                0.91794,                0.56485,                0.92203,                0.53976,                0.94392,               0.007921,               0.007921,               0.007921
                     23,                0.57087,                0.41793,                0.90253,                0.80869,                0.89194,                0.89676,                0.56226,                0.92644,                0.59261,                0.94797,               0.007822,               0.007822,               0.007822
                     24,                0.57453,                0.40917,                0.90251,                0.86934,                0.88912,                0.93097,                0.58035,                0.91414,                0.52296,                0.93922,               0.007723,               0.007723,               0.007723
                     25,                0.56456,                0.40441,                0.90442,                0.86716,                0.86868,                0.92801,                0.57479,                 0.9212,                0.54209,                0.93741,               0.007624,               0.007624,               0.007624
                     26,                0.56304,                 0.4035,                0.89652,                0.83748,                0.89688,                0.92342,                0.58672,                0.92275,                0.52986,                0.93274,               0.007525,               0.007525,               0.007525
                     27,                0.56823,                0.40044,                0.89925,                0.89176,                0.87236,                0.92363,                0.57504,                0.92818,                 0.5171,                0.93529,               0.007426,               0.007426,               0.007426
                     28,                0.56233,                0.39547,                 0.9002,                0.89394,                0.86532,                0.92771,                0.57677,                0.92221,                0.53568,                0.93505,               0.007327,               0.007327,               0.007327
                     29,                 0.5522,                0.38524,                0.89302,                0.88269,                0.89894,                0.93281,                0.57887,                0.92916,                0.53292,                0.94666,               0.007228,               0.007228,               0.007228
                     30,                0.55389,                0.38681,                0.89779,                0.89551,                0.88593,                0.92369,                0.58167,                0.92773,                0.52582,                 0.9352,               0.007129,               0.007129,               0.007129
                     31,                0.55519,                0.38212,                0.89469,                0.89775,                0.90185,                0.93253,                0.58555,                0.91048,                0.51302,                0.93287,                0.00703,                0.00703,                0.00703
                     32,                0.55344,                0.37678,                0.89408,                0.88305,                0.89201,                 0.9348,                0.57895,                0.93507,                0.51967,                0.94148,               0.006931,               0.006931,               0.006931
                     33,                0.54728,                0.37532,                0.89043,                 0.9058,                0.90098,                0.93735,                0.59006,                0.91792,                0.49863,                0.93069,               0.006832,               0.006832,               0.006832
                     34,                0.54162,                0.37178,                0.88956,                  0.874,                0.91002,                 0.9387,                0.59898,                0.92118,                0.49405,                0.93157,               0.006733,               0.006733,               0.006733
                     35,                0.54379,                0.36812,                0.89118,                0.90879,                0.90802,                 0.9373,                 0.5984,                0.90734,                0.49099,                0.92173,               0.006634,               0.006634,               0.006634
                     36,                0.54364,                0.36919,                0.89031,                0.89269,                0.90742,                0.93175,                0.58991,                0.90781,                0.49077,                0.92642,               0.006535,               0.006535,               0.006535
                     37,                  0.535,                0.36302,                0.88726,                0.88446,                0.91189,                0.94782,                0.59082,                0.91467,                 0.4892,                0.93122,               0.006436,               0.006436,               0.006436
                     38,                0.54182,                0.36593,                0.89055,                0.88434,                0.88784,                0.93041,                0.58252,                0.92687,                0.50649,                 0.9326,               0.006337,               0.006337,               0.006337
                     39,                0.52845,                0.35915,                 0.8852,                0.89478,                0.91749,                0.94799,                0.60557,                0.90215,                0.48184,                0.92243,               0.006238,               0.006238,               0.006238
                     40,                0.52824,                0.34773,                0.88735,                0.88873,                0.91966,                0.94057,                0.59916,                0.91761,                 0.4818,                0.93514,               0.006139,               0.006139,               0.006139
                     41,                0.52295,                0.34657,                0.88132,                0.86175,                0.91319,                0.93872,                0.58528,                0.92023,                0.49197,                0.93202,                0.00604,                0.00604,                0.00604
                     42,                0.53083,                 0.3535,                0.88694,                0.91942,                 0.8783,                0.94313,                 0.5917,                0.91655,                0.49329,                0.92742,               0.005941,               0.005941,               0.005941
                     43,                0.52699,                0.34951,                0.88434,                0.88544,                 0.9064,                 0.9376,                0.59656,                0.90859,                0.48449,                0.93105,               0.005842,               0.005842,               0.005842
                     44,                0.52289,                0.34567,                0.88523,                0.92078,                0.90766,                0.94904,                0.59919,                0.92896,                0.47819,                  0.936,               0.005743,               0.005743,               0.005743
                     45,                0.51921,                0.34623,                0.88414,                0.88093,                 0.9062,                 0.9324,                0.58988,                0.91121,                0.47272,                  0.928,               0.005644,               0.005644,               0.005644
                     46,                0.51668,                0.34237,                  0.884,                0.91729,                0.89297,                0.93013,                0.58579,                0.91295,                0.47842,                0.92745,               0.005545,               0.005545,               0.005545
                     47,                0.52223,                0.34157,                0.88667,                0.89363,                0.90923,                0.94265,                0.59491,                0.91063,                0.47474,                 0.9257,               0.005446,               0.005446,               0.005446
                     48,                0.51567,                0.33772,                0.88776,                0.86963,                0.90686,                0.93837,                0.59518,                0.89721,                0.47312,                0.92352,               0.005347,               0.005347,               0.005347
                     49,                 0.5083,                0.32981,                 0.8783,                0.92024,                0.90744,                0.94993,                 0.6078,                0.90345,                 0.4591,                0.92394,               0.005248,               0.005248,               0.005248
                     50,                0.51561,                0.33422,                0.88064,                0.90245,                0.91131,                0.94681,                 0.6034,                0.89964,                0.45715,                0.92309,               0.005149,               0.005149,               0.005149
                     51,                0.50856,                0.32856,                0.87993,                0.88163,                0.89276,                0.92854,                0.58809,                0.90807,                0.46917,                0.92691,                0.00505,                0.00505,                0.00505
                     52,                0.50518,                0.33286,                0.87577,                0.92234,                0.92024,                0.95261,                0.60061,                0.91197,                0.45579,                0.92361,               0.004951,               0.004951,               0.004951
                     53,                0.50926,                0.32758,                0.88299,                0.89915,                0.91897,                 0.9473,                0.59892,                0.90903,                0.46109,                0.92749,               0.004852,               0.004852,               0.004852
                     54,                0.50679,                0.32522,                0.87848,                0.92436,                0.90337,                0.95036,                0.59437,                0.91203,                0.45615,                0.92567,               0.004753,               0.004753,               0.004753
                     55,                0.50498,                0.32281,                0.87798,                0.92499,                0.91861,                0.94855,                0.59745,                0.91694,                0.44957,                0.92416,               0.004654,               0.004654,               0.004654
                     56,                0.49509,                 0.3177,                0.87716,                0.91476,                0.92439,                 0.9567,                0.60995,                0.91311,                0.44863,                0.92619,               0.004555,               0.004555,               0.004555
                     57,                0.48836,                0.31705,                0.87385,                0.88012,                0.91323,                0.93979,                0.59586,                0.90771,                0.45254,                0.92599,               0.004456,               0.004456,               0.004456
                     58,                 0.4951,                0.31871,                0.87739,                0.92035,                0.90464,                 0.9502,                0.59257,                0.91875,                0.45187,                0.92638,               0.004357,               0.004357,               0.004357
                     59,                0.48806,                  0.309,                 0.8759,                0.90416,                0.93038,                0.94735,                0.60008,                0.90512,                0.45063,                 0.9232,               0.004258,               0.004258,               0.004258
                     60,                0.49482,                0.31475,                0.87514,                0.91804,                 0.9199,                0.94985,                0.59916,                0.89906,                0.45613,                0.91936,               0.004159,               0.004159,               0.004159
                     61,                0.49113,                0.31695,                0.87672,                0.88494,                0.93066,                 0.9485,                0.59643,                0.91139,                  0.458,                0.91965,                0.00406,                0.00406,                0.00406
                     62,                0.48597,                0.30826,                0.87474,                0.87317,                0.93133,                0.93892,                0.60022,                  0.897,                0.44302,                0.91555,               0.003961,               0.003961,               0.003961
                     63,                0.48819,                0.30718,                 0.8736,                0.93698,                0.90751,                 0.9557,                0.60151,                0.89867,                0.44607,                0.92078,               0.003862,               0.003862,               0.003862
                     64,                 0.4817,                0.30641,                0.87288,                0.92107,                0.90591,                0.95194,                0.59782,                0.89896,                0.44872,                0.91997,               0.003763,               0.003763,               0.003763
                     65,                0.49491,                0.30926,                0.87508,                0.92727,                0.88969,                 0.9431,                 0.6004,                0.90149,                0.43808,                0.92592,               0.003664,               0.003664,               0.003664
                     66,                0.48775,                0.30501,                0.87833,                0.90976,                0.87691,                0.94107,                0.59821,                0.90396,                0.44783,                0.92441,               0.003565,               0.003565,               0.003565
                     67,                0.47853,                0.30149,                0.86961,                0.94267,                0.87288,                0.94152,                0.59188,                 0.9095,                0.43802,                0.92938,               0.003466,               0.003466,               0.003466
                     68,                0.47815,                0.29681,                0.87074,                0.91699,                0.92475,                0.95466,                0.60292,                0.90449,                0.43509,                 0.9268,               0.003367,               0.003367,               0.003367
                     69,                0.47982,                0.29876,                0.86876,                0.90379,                0.93405,                0.95573,                0.59798,                0.91434,                0.44637,                0.92747,               0.003268,               0.003268,               0.003268
                     70,                0.47054,                0.29469,                0.87062,                 0.9277,                0.90966,                0.95848,                0.60544,                0.89485,                 0.4323,                0.91707,               0.003169,               0.003169,               0.003169
                     71,                0.47107,                0.29441,                0.86806,                0.92477,                0.90761,                0.95475,                0.60456,                0.91093,                0.44159,                0.93176,                0.00307,                0.00307,                0.00307
                     72,                0.46597,                0.29402,                0.86513,                0.90423,                0.93824,                0.95733,                0.60994,                0.91129,                0.42986,                0.93472,               0.002971,               0.002971,               0.002971
                     73,                0.45876,                0.28706,                0.86757,                0.92551,                0.90894,                0.95315,                0.59817,                0.91546,                0.43736,                0.93386,               0.002872,               0.002872,               0.002872
                     74,                0.46392,                0.28837,                0.86812,                0.90416,                0.93024,                0.95102,                0.60062,                0.90923,                0.44295,                0.92493,               0.002773,               0.002773,               0.002773
                     75,                 0.4659,                0.29062,                0.86881,                0.93454,                0.91343,                0.95106,                 0.5994,                0.90829,                0.43766,                0.92406,               0.002674,               0.002674,               0.002674
                     76,                0.47327,                0.28858,                0.86809,                0.93908,                0.91528,                0.95258,                0.60215,                0.89444,                 0.4407,                0.92168,               0.002575,               0.002575,               0.002575
                     77,                0.45903,                0.28486,                 0.8654,                0.91736,                0.92538,                0.96323,                0.61404,                0.89427,                0.43241,                0.91778,               0.002476,               0.002476,               0.002476
                     78,                0.46213,                 0.2844,                0.86789,                0.89193,                0.92421,                0.94214,                0.60565,                0.89443,                0.43303,                0.92031,               0.002377,               0.002377,               0.002377
                     79,                0.46242,                0.28589,                0.86577,                0.91924,                0.92719,                0.95557,                0.60983,                0.90048,                0.43851,                0.92638,               0.002278,               0.002278,               0.002278
                     80,                0.45869,                0.27806,                0.86605,                0.93931,                0.90669,                0.96037,                0.60721,                0.89895,                 0.4207,                0.92074,               0.002179,               0.002179,               0.002179
                     81,                0.45747,                0.27448,                0.86647,                0.93702,                0.90609,                0.96224,                0.61223,                0.89679,                0.42657,                0.92005,                0.00208,                0.00208,                0.00208
                     82,                0.45139,                0.27988,                0.86458,                0.91259,                  0.936,                0.95809,                0.61165,                0.88541,                0.41859,                0.91423,               0.001981,               0.001981,               0.001981
                     83,                0.44711,                0.27315,                0.86231,                0.89992,                 0.9135,                0.95015,                0.60631,                 0.8877,                0.43707,                0.91643,               0.001882,               0.001882,               0.001882
                     84,                0.45487,                0.27888,                0.86438,                 0.9443,                0.89206,                0.95997,                0.61026,                0.89893,                0.42146,                0.92211,               0.001783,               0.001783,               0.001783
                     85,                0.44523,                0.26949,                0.86234,                0.92459,                0.91004,                0.95271,                0.61131,                0.89043,                0.42385,                0.91824,               0.001684,               0.001684,               0.001684
                     86,                0.44174,                0.27225,                0.86033,                0.92129,                0.90623,                0.94893,                0.61867,                0.88845,                0.42456,                 0.9171,               0.001585,               0.001585,               0.001585
                     87,                0.44346,                0.26793,                0.86028,                0.91915,                0.91535,                0.94961,                0.61052,                0.89533,                0.42982,                0.92085,               0.001486,               0.001486,               0.001486
                     88,                0.44637,                0.26532,                 0.8632,                0.90307,                0.89971,                0.94158,                0.61006,                0.89292,                 0.4248,                0.92174,               0.001387,               0.001387,               0.001387
                     89,                 0.4351,                0.26475,                 0.8604,                0.91797,                0.89197,                0.95063,                0.61315,                0.90135,                 0.4182,                0.92267,               0.001288,               0.001288,               0.001288
                     90,                0.54509,                0.29606,                 0.8376,                0.91907,                0.87616,                0.94515,                0.60746,                0.90012,                0.42997,                0.92041,               0.001189,               0.001189,               0.001189
                     91,                0.53915,                0.29291,                0.83469,                0.92743,                0.90894,                0.94567,                0.60884,                 0.8916,                0.43134,                0.91972,                0.00109,                0.00109,                0.00109
                     92,                0.53643,                0.28829,                 0.8325,                0.93827,                0.90672,                0.95391,                0.60321,                0.89261,                 0.4192,                0.91971,               0.000991,               0.000991,               0.000991
                     93,                0.53706,                0.28726,                0.83604,                0.90563,                0.91798,                0.94578,                0.60243,                0.89979,                0.42713,                 0.9233,               0.000892,               0.000892,               0.000892
                     94,                0.52841,                0.28102,                  0.834,                0.93071,                0.91408,                0.95028,                0.60739,                0.89365,                0.43068,                0.91923,               0.000793,               0.000793,               0.000793
                     95,                0.52827,                 0.2799,                  0.832,                0.92569,                0.89044,                0.95052,                0.61426,                0.89218,                0.42363,                0.91978,               0.000694,               0.000694,               0.000694
                     96,                0.52456,                0.27831,                0.82899,                0.92136,                0.89559,                 0.9468,                0.61284,                0.88812,                0.42563,                0.91875,               0.000595,               0.000595,               0.000595
                     97,                0.52257,                0.27625,                0.82876,                0.92857,                0.89534,                 0.9501,                0.60829,                0.88447,                0.41984,                0.91857,               0.000496,               0.000496,               0.000496
                     98,                0.51997,                0.27421,                0.82779,                0.92179,                0.89171,                0.94934,                0.60745,                0.88601,                0.41639,                0.91794,               0.000397,               0.000397,               0.000397
                     99,                0.51291,                0.26985,                0.82919,                 0.9132,                0.90001,                0.94839,                0.60517,                0.88657,                0.41581,                0.91771,               0.000298,               0.000298,               0.000298
